Timestamp,Courses Offered by the Computing Department - Tick the courses you have completed,How many times did you attempt each computing course you have done until you passed it? Provide the course code.,"On a scale of 1 - 5, 5 being the most challenging, what would you rate the difficulty of each computing course you have done? Provide the course code",What would ruin a course for you?,Do you prefer courses with an exam component?,How much do you like programming in a course?,How much does a lecturer matter in a course?,Which of these courses would you recommend to a fellow student?
6/6/2024 15:47:53,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3161 - Database Management Systems",1 for level ones and 2 for a few level twos,Around 3-5,Group work with difficult members,No,3,4,"COMP1126, COMP1127, COMP2130, COMP2140, COMP2171, COMP2201, INFO2180"
6/6/2024 15:48:47,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3110 - Information Systems, SWEN3120 - Software Architecture, SWEN3130 - Software Project Management",Once for all courses I selected except for net centric  and web dev 1 which was twice ,All of the are 3,A bad lecturer,No,3,1,COMP1126
6/6/2024 15:57:50,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3155 - Information Assurance and Security, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II","Comp1126 - 1
Comp1127 - 1
Comp1210 - 1
Comp1220 - 1
Comp1161 - 1
Comp2171 - 1
Comp2140 - 1
Comp2190 - 1
Comp2340 - 1
Comp2201 - 1
Comp2211 - 1
Comp3101 - 1
Comp3161 - 1
Comp3901 - 1
Comp3220 - 1
Info2180 - 1
Info3180 - 1
Info3155 - 1
Info3170 - 1","Comp1126 - 1
Comp1127 - 1
Comp1210 - 5
Comp1220 - 1
Comp1161 - 1
Comp2171 - 1
Comp2140 - 2
Comp2190 - 3
Comp2340 - 5
Comp2201 - 3
Comp2211 - 3
Comp3101 - 3
Comp3161 - 1
Comp3901 - 3
Comp3220 - 1
Info2180 - 1
Info3180 - 1
Info3155 - 3
Info3170 - 5",,No,1,1,"COMP1126, COMP1127, COMP1161, COMP1220, INFO2180, INFO3180"
6/6/2024 16:06:15,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2340 - Computer Systems Organization",Twice for 1210,3 for most 4 for 2190,Teacher ,No,3,1,"COMP1126, COMP1127"
6/6/2024 16:08:19,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3161 - Database Management Systems, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II","2 times- Comp2190, the rest is one ","4- COMP2201, COMP2211, COMP2190, the rest were like a 3",A lot of course work,No,3,2,"COMP1126, COMP1127, COMP1220, COMP2140, COMP2171, COMP2201, COMP2340, COMP3161, INFO3171, INFO3180"
6/6/2024 16:08:27,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society",I have only done each course only once and luckily passed all on the first attempt.,"Comp1126: 2
Comp1127: 3
Comp1161: 4
Comp1220: 5
Comp1210: 2","A very distant lecturer who I feel I can not feel the passion he/her has for teaching and wanting all students to pass. Also, a course that is too bulky and has assignments around every corner where it becomes overwhelming",No,3,1,"COMP1126, COMP1127, COMP1161"
6/6/2024 16:10:12,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, COMP3161 - Database Management Systems, SWEN3130 - Software Project Management, SWEN3145 - Software Modelling, SWEN3165 - Software Testing, SWEN3185 - Formal Methods and Software Reliability",1-2 times,4,Courses with little to no external resources ,No,4,2,"COMP1126, COMP1127, COMP1210, COMP1220, COMP2140, COMP2171, COMP2211, SWEN3130"
6/6/2024 16:34:40,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing",0,"1126, 1127- 1
1161, 1210- 2","No support- in terms of help from teachers, tutoring etc",No,2,1,"COMP1126, COMP1127"
6/6/2024 16:40:19,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3180 - Dynamic Web Development II, SWEN3130 - Software Project Management",1-2,3-4,A change in modality,Yes,1,2,"COMP1126, COMP1127, COMP1161, COMP2201, COMP2211, INFO2180, COMP3161, COMP3901, INFO3180"
6/6/2024 16:53:43,"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3180 - Dynamic Web Development II, SWEN3130 - Software Project Management",1,3,Lecturers who are bad at giving clear explanations of concepts being taught,No,3,4,"COMP1126, COMP1127, COMP1161, INFO3180, SWEN3130"
